kode_konsep,konsep,definisi
K00614,Instansi Pemerintah,"Kementerian, lembaga, dan badan lain yang dibentuk berdasarkan peraturan perundang-undangan baik di pusat maupun di daerah, atau pemerintah daerah yang fungsi dan tugasnya berkaitan dengan penyelenggaraan negara."
K00618,Internet,Jaringan komunikasi elektronik yang menghubungkan jaringan komputer dan fasilitas komputer yang terorganisasi di seluruh dunia melalui telepon atau satelit.
K00620,Invensi,"Ide inventor yang dituangkan ke dalam suatu kegiatan pemecahan masalah yang spesifik di bidang teknologi berupa produk atau proses, atau penyempurnaan dan pengembangan produk atau proses."
K00622,Investasi,Penanaman uang atau modal dalam suatu perusahaan atau proyek untuk tujuan memperoleh keuntungan.
K02359,Irigasi,"Usaha penyediaan, pengaturan, dan pembuangan air untuk menunjang pertanian."
K00628,Izin Edar,"Izin yang diberikan kepada perusahaan untuk produk yang akan diimpor, digunakan dan/atau diedarkan di wilayah Republik Indonesia, berdasarkan penilaian terhadap mutu, keamanan, dan kemanfaatan."
K00643,Jabatan,"Kedudukan yang menunjukkan fungsi, tugas, tanggung jawab, wewenang, dan hak seorang dalam suatu satuan organisasi."
K00645,Jabatan Fungsional,Sekelompok jabatan yang berisi fungsi dan tugas berkaitan dengan pelayanan fungsional yang berdasarkan pada keahlian dan keterampilan tertentu.
K01764,Jabatan Manajerial,"Manajer merencanakan, mengarahkan, mengkoordinasikan dan mengevaluasi kegiatan secara menyeluruh dari suatu perusahaan, pemerintahan, dan organisasi lainnya, atau dari unit organisasi di dalamnya, dan merumuskan dan meninjau kembali kebijakan, hukum, ketentuan dan peraturan-peraturan."
K00652,Jabatan Struktural,"Kedudukan yang menunjukkan tugas, tanggung jawab, wewenang dan hak seseorang pegawai negeri dalam rangka memimpin suatu satuan organisasi."
K02360,Jaksa,Pejabat di bidang hukum yang bertugas menyampaikan dakwaan atau tuduhan di dalam proses pengadilan terhadap orang yang diduga melanggar hukum.
K00656,Jalan,Prasarana transportasi yang digunakan untuk lalu lintas orang (kendaraan dan sebagainya).
K00663,Jalan Tol,Jalan bebas hambatan yang merupakan bagian sistem jaringan jalan dan sebagai jalan nasional yang penggunanya diwajibkan membayar sejumlah uang.
K00667,Jam Kerja,Jangka waktu yang digunakan untuk bekerja/melakukan kegiatan usaha (tidak termasuk istirahat resmi) dimulai dari menyiapkan pekerjaan sampai selesai dalam sehari.
K00677,Jaminan Sosial,Suatu bentuk perlindungan sosial untuk menjamin seluruh rakyat agar dapat memenuhi kebutuhan dasar hidupnya yang layak.
K02361,Jaringan Dokumentasi dan Informasi Hukum Nasional (JDIHN),"Wadah pendayagunaan bersama atas dokumen hukum secara tertib, terpadu, dan berkesinambungan, serta merupakan sarana pemberian pelayanan informasi hukum secara lengkap, akurat, mudah, dan cepat."
K00689,Jaringan Serat Optik,Jaringan telekomunikasi berbasis kabel serat optik yang terbuat dari kaca atau plastik yang sangat halus dan dapat digunakan untuk mentransmisikan sinyal cahaya dari suatu tempat ke tempat lain.
K00691,Jaringan Trayek,Kumpulan rute atau lintasan yang menjadi satu kesatuan pelayanan angkutan penumpang dan/atau barang.
K00697,Jemaah Haji,Warga negara Indonesia yang beragama Islam dan telah mendaftarkan diri untuk menunaikan ibadah haji sesuai dengan persyaratan yang ditetapkan.
K00698,Jembatan,Jalan atau titian besar yang direntangkan di atas permukaan air dan/atau tanah.
K00701,Jembatan Udara,"Pelaksanaan angkutan udara kargo dari bandar udara ke bandar udara lainnya dan/atau dari bandar udara ke bandar udara dengan menggunakan mekanisme kewajiban pelayanan publik angkutan barang dari dan ke daerah tertinggal, terpencil, terluar, dan perbatasan."
K00704,Jenis Kelamin,Pembedaan makhluk hidup secara fisiologis menurut jenis dan kemampuan organ reproduksi.
K00709,Kabupaten,"Daerah swantara tingkat II yang dikepalai oleh bupati, setingkat dengan kota (madya) dan merupakan bagian langsung dari provinsi yang terdiri atas beberapa kecamatan."
K00711,Kalori,Satuan yang digunakan untuk mengukur energi seperti halnya energi yang terkandung dalam makanan dan minuman maupun energi yang digunakan untuk aktivitas fisik.
K00712,Kamar Hotel,Kamar yang tersedia untuk tamu (yang sedang digunakan/terisi ataupun tidak terisi tamu).
K02362,Kapal Penangkap Ikan,"Kapal perikanan yang digunakan untuk melakukan penangkapan ikan, termasuk menampung, menyimpan, mendinginkan, dan/atau mengawetkan ikan, serta memiliki alat penangkapan ikan."
K00724,Kapasitas Terpasang,Keluaran atau kemampuan maksimum.
K02363,Karakter,"Sifat-sifat kejiwaan, akhlak atau budi pekerti yang membedakan seseorang dari yang lain; tabiat; watak."
K01201,Kargo,"Muatan barang yang diangkut dengan kapal laut, pesawat udara, atau pengangkut lain."
K00741,Kaveling,Bagian tanah yang sudah dipetak-petak dengan ukuran tertentu untuk bangunan atau tempat tinggal.
K00745,Kawasan Hutan,"Wilayah tertentu, yang ditunjuk dan ditetapkan oleh pemerintah untuk dipertahankan keberadaannya sebagai hutan tetap."
K00752,Kawasan Industri,Kawasan tempat pemusatan kegiatan industri yang dilengkapi dengan sarana dan prasarana penunjang yang dikembangkan dan dikelola oleh perusahaan.
K00753,Kawasan Konservasi,"Kawasan yang mempunyai ciri khas tertentu sebagai suatu kesatuan ekosistem yang dilindungi, dilestarikan, dan dimanfaatkan secara berkelanjutan."
K00759,Kawasan Permukiman,"Bagian dari lingkungan hidup di luar kawasan lindung, baik berupa kawasan perkotaan maupun perdesaan, yang berfungsi sebagai lingkungan tempat tinggal atau lingkungan hunian dan tempat kegiatan yang mendukung perikehidupan dan penghidupan."
K00763,Kawasan Sains dan Teknologi (Science and Technology Park),"Wahana yang dikelola secara profesional untuk mengembangkan dan mendorong pertumbuhan ekonomi secara berkelanjutan melalui pengembangan, penerapan ilmu pengetahuan dan teknologi, dan penumbuhan perusahaan pemula."
K00764,Kawasan Strategis Nasional (KSN),"Wilayah yang penataan ruangnya diprioritaskan karena mempunyai pengaruh yang sangat penting secara nasional terhadap kedaulatan negara, pertahanan dan keamanan negara, ekonomi, sosial, budaya, dan lingkungan, termasuk wilayah yang telah ditetapkan sebagai situs warisan dunia."
K00765,Kawasan Transmigrasi,Kawasan yang memiliki fungsi sebagai permukiman dan tempat usaha masyarakat yang dikembangkan di kawasan pedesaan sebagai sistem produksi pertanian dan pengelolaan sumber daya alam.
K02364,Keamanan Siber,"Perlindungan terhadap aset informasi dengan mengatasi risiko yang muncul akibat adanya ancaman terhadap aset informasi yang diproses, disimpan, dan dikirimkan melalui sistem informasi yang saling terhubung."
K00788,Kecamatan,Daerah bagian kabupaten/kota yang membawahkan beberapa desa atau kelurahan dan dikepalai oleh seorang camat.
K00789,Kecelakaan,Kejadian atau peristiwa yang menyebabkan orang celaka.
K00791,Kecelakaan Kerja,"Kejadian yang tidak terduga dan tidak direncanakan, termasuk tindakan kekerasan yang timbul dari atau sehubungan dengan pekerjaan, baik dalam perjalanan kerja maupun di tempat kerja, yang mengakibatkan pekerja mengalami cedera, penyakit, atau kematian."
K00793,Kecelakaan Transportasi,"Peristiwa yang menimpa pesawat udara, kapal, kereta api, kendaraan bermotor, dan alat transportasi lainnya yang dapat membahayakan dan/atau mengancam keselamatan manusia."
K00803,Kehamilan,Masa ketika embrio atau janin (fetus) berkembang di dalam rahim seorang perempuan.
K00804,Kejahatan,"Tindakan yang melanggar hukum dan norma-norma yang berlaku dalam suatu masyarakat yang dapat berdampak buruk bagi orang lain, masyarakat secara umum, atau lingkungan sekitar."
K00809,Kekerasan,"Setiap perbuatan terhadap seseorang yang berakibat timbulnya kesengsaraan atau penderitaan secara fisik, psikis, seksual, dan/atau penelantaran, termasuk ancaman untuk melakukan perbuatan, pemaksaan, atau perampasan kemerdekaan secara melawan hukum."
K00810,Kekerasan dalam Rumah Tangga,"Setiap perbuatan terhadap seseorang terutama perempuan, yang berakibat timbulnya kesengsaraan atau penderitaan secara fisik, seksual, psikologis dan/atau penelantaran rumah tangga termasuk ancaman untuk melakukan perbuatan pemaksaan atau perampasan kemerdekaan secara melawan hukum dalam lingkup rumah tangga."
K00811,Kekerasan Emosional,Setiap perbuatan terhadap seseorang yang mengakibatkan timbulnya kesengsaraan atau penderitaan yang ditunjukkan
K00812,Kekerasan Fisik,"Setiap perbuatan terhadap seseorang yang mengakibatkan timbulnya kesengsaraan atau penderitaan yang ditunjukkan dengan perilaku menonjok, menendang, mencambuk atau memukul dengan benda, mencekik, membekap, mencoba menenggelamkan atau membakar dengan sengaja, menggunakan atau mengancam dengan pisau atau senjata lain."
K00813,Kekerasan Seksual,"Perilaku seksual yang berbahaya atau tidak diinginkan yang dikenakan kepada seseorang, dapat berupa pelecehan seksual (sexual abuse), eksploitasi atau kekerasan seksual dengan hubungan (contact), dan eksploitasi seksual tanpa hubungan (non-contact)."
K00819,Kelahiran Hidup,"Kelahiran bayi yang pada waktu dilahirkan menunjukkan tanda-tanda kehidupan seperti bernafas, menangis, dan berdetaknya jantung, meskipun hanya muncul beberapa saat setelah kelahiran."
K00824,Kelautan,"Hal yang berhubungan dengan laut dan/atau kegiatan di wilayah laut yang meliputi dasar laut dan tanah di bawahnya, kolom air dan permukaan laut, termasuk wilayah pesisir dan pulau-pulau kecil."
K00826,Kelompok Tani (Poktan),"Kumpulan petani/peternak/pekebun yang dibentuk oleh para petani atas dasar kesamaan kepentingan, kesamaan kondisi lingkungan sosial, ekonomi, dan sumberdaya, kesamaan komoditas, dan keakraban untuk meningkatkan dan mengembangkan usaha anggota."
K00829,Keluarga,"Seseorang atau sekelompok orang yang terdaftar dalam kartu keluarga (KK), kecuali mereka yang terdaftar tetapi tidak tinggal bersama keluarga tersebut, serta mereka yang tidak memiliki KK, merujuk pada unit terkecil dalam masyarakat yang terdiri dari suami istri, atau suami, istri dan anaknya, atau ayah dan anaknya, atau ibu dan anaknya, atau keluarga sedarah dalam garis lurus ke atas atau ke bawah sampai dengan derajat ketiga."
K00830,Keluarga Berencana,"Upaya mengatur kelahiran anak, jarak dan usia ideal melahirkan, mengatur kehamilan, melalui promosi, perlindungan, dan bantuan sesuai dengan hak reproduksi untuk mewujudkan keluarga yang berkualitas."
K00831,Keluarga Miskin,"Keluarga yang mengalami kesulitan dalam pemenuhan kebutuhan dasar sehari-hari, meliputi kesulitan pangan (dari segi frekuensi, porsi, dan kecukupan gizi), kesulitan sandang, dan kesulitan perumahan (misal dari segi kelayakan)."
K00835,Keluhan Kesehatan,"Keadaan seseorang yang mengalami gangguan kesehatan atau kejiwaan, baik karena gangguan/penyakit yang sering dialami, seperti panas, batuk, pilek, diare, dan sakit kepala, maupun karena penyakit akut, penyakit kronis (meskipun selama sebulan terakhir tidak mempunyai keluhan) karena kecelakaan, kriminalitas, atau keluhan kesehatan lainnya."
K00836,Kelurahan,Daerah pemerintahan yang paling bawah yang dipimpin oleh seorang lurah.
K00842,Kematian Ibu/Maternal Mortality,"Kematian perempuan pada saat hamil atau dalam kurun waktu 42 hari sejak terminasi kehamilan tanpa memandang lamanya kehamilan atau tempat persalinan, baik disebabkan oleh kehamilan maupun pengelolaannya, dan bukan disebabkan hal lain, seperti kecelakaan dan terjatuh."
K00845,Kematian/Mortalitas,Keadaan menghilangnya tanda-tanda kehidupan secara permanen yang dapat terjadi pada seseorang yang telah mengalami kelahiran hidup.
K00847,Kemiskinan,Suatu situasi saat seseorang tidak dapat atau tidak mampu memenuhi kebutuhan dasar minimum yang diperlukan untuk hidup layak dan bermartabat.
K00851,Kemitraan,"Kerja sama dalam keterkaitan usaha, baik langsung maupun tidak langsung, atas dasar prinsip saling memerlukan, mempercayai, memperkuat, dan menguntungkan."
K00853,Kendaraan Bermotor,Setiap kendaraan yang digerakkan oleh peralatan mekanik berupa mesin selain kendaraan yang berjalan di atas rel.
K00859,Kepala Rumah Tangga,Orang yang bertanggung jawab atas pengelolaan makan/minum dan pemenuhan kebutuhan sehari-hari seseorang atau sekumpulan orang yang biasanya tinggal bersama dalam suatu bangunan (biasanya satu keluarga).
K00860,Kepariwisataan,"Keseluruhan kegiatan yang terkait dengan pariwisata dan bersifat multidimensi serta multidisiplin yang muncul sebagai wujud kebutuhan setiap orang dan negara serta interaksi antara wisatawan dan masyarakat setempat, sesama wisatawan, Pemerintah, Pemerintah Daerah, dan pengusaha."
K00864,Kepemilikan Aset atau Dokumen,"Perihal kepemilikan terhadap suatu aset atau dokumen, baik dilengkapi dengan bukti kepemilikan maupun tidak, yang berada dalam penguasaan seseorang atau usaha/perusahaan, termasuk di dalamnya aset atau dokumen yang masih dalam proses kredit, sedang digadaikan, atau digunakan oleh orang lain."
K00872,Kepunahan,Perihal habisnya suatu makhluk hidup hingga tidak ada sisanya.
K00881,Kerawanan Pangan,"Kondisi suatu daerah, masyarakat atau rumah tangga yang tingkat ketersediaan dan keamanan pangannya tidak cukup untuk memenuhi standar kebutuhan fisiologi bagi pertumbuhan dan kesehatan sebagian masyarakat."
K00882,Kerawanan Pemilu,Segala hal yang berpotensi mengganggu atau menghambat proses pemilu yang demokratis.
K00893,Kerukunan Umat Beragama,"Keadaan hubungan sesama umat beragama yang dilandasi toleransi, saling pengertian, saling menghormati, menghargai kesetaraan dalam pengamalan ajaran agamanya dan kerjasama dalam kehidupan bermasyarakat, berbangsa dan bernegara di dalam Negara Kesatuan Republik Indonesia berdasarkan Pancasila dan Undang-undang Dasar."
K00894,Kesakitan/Morbiditas,"Kondisi seseorang dikatakan sakit, apabila keluhan kesehatan yang dirasakan menyebabkan terganggunya aktivitas sehari-hari yaitu tidak dapat melakukan kegiatan bekerja, mengurus rumah tangga, dan kegiatan normal sebagaimana biasanya."
K00895,Kesalahan Cakupan,"Kesalahan dalam mencakup unit pengumpulan data yang timbul karena kelalaian petugas, ketidakjelasan batas wilayah, atau pun kriteria unit."
K00896,Kesalahan Isian,"Kesalahan yang timbul dalam pelaporan atau pencatatan respons/jawaban responden saat pengumpulan data yang dapat disebabkan kesalahan dalam memahami pertanyaan dalam kuesioner, kekurangcermatan petugas memahami jawaban responden, atau terganggunya ingatan (memory lapse) responden untuk menjawab dengan benar karena jeda waktu yang terlalu lama."
K00898,Kesatuan Pengelolaan Hutan (KPH),"Wilayah pengelolaan hutan sesuai fungsi pokok dan peruntukannya, yang dapat dikelola secara efisien dan lestari."
K00907,Kesejahteraan Sosial,"Kondisi terpenuhinya kebutuhan material, spiritual, dan sosial warga negara agar dapat hidup layak dan mampu mengembangkan diri, sehingga dapat melaksanakan fungsi sosialnya."
K00016,Keselamatan dan Kesehatan Kerja (K-3),Segala kegiatan untuk menjamin dan melindungi keselamatan dan kesehatan tenaga kerja melalui upaya pencegahan kecelakaan kerja dan penyakit akibat bekerja.
K00908,Kesetaraan Gender,Hak yang semestinya didapatkan agar laki-laki dan perempuan memperoleh kesempatan yang sama untuk berperan dan ikut berpartisipasi dalam setiap aspek kehidupan.
K00909,Kesetaraan Kelompok Rentan,"Tidak adanya pembedaan perlakuan pada para pengungsi, kaum minoritas, masyarakat adat, pekerja migran, anak, fakir miskin, disabilitas, lansia, dan lain lain."
K00911,Kesetaraan Ras dan Etnis,"Tidak adanya pembedaan, pengecualian, pembatasan, atau pemilihan berdasarkan pada ras dan etnis, yang mengakibatkan pencabutan atau pengurangan pengakuan, perolehan, atau pelaksanaan hak asasi manusia dan kebebasan dasar dalam suatu kesetaraan di bidang sipil, politik, ekonomi, sosial, dan budaya."
K02365,Ketahanan Bangunan,"Daya tahan suatu bangunan yang ditinjau dari bahan bangunan atap, dinding, dan lantai terluas yang memenuhi syarat sehingga dapat berdiri dan ditempati secara aman untuk jangka waktu lama.

"
K00914,Ketahanan Pangan,"Kondisi terpenuhinya pangan bagi negara sampai dengan dengan perseorangan yang tercermin dari tersedianya pangan yang cukup, baik jumlah maupun mutunya, aman, beragam, bergizi, merata dan terjangkau, serta tidak bertentangan dengan agama, keyakinan, dan budaya masyarakat untuk dapat hidup sehat, aktif dan produktif secara berkelanjutan."
K00915,Ketenagakerjaan,"Segala hal yang berhubungan dengan tenaga kerja pada waktu sebelum, selama, dan sesudah masa kerja."
K00922,Ketergantungan Sosial,Perihal hubungan sosial seseorang yang tergantung kepada orang lain atau masyarakat.
K00930,Ketidakcukupan Konsumsi Pangan/Undernourishment,"Kondisi seseorang secara reguler mengonsumsi sejumlah makanan yang tidak cukup menyediakan energi yang dibutuhkan untuk hidup sehat, aktif dan produktif sesuai dengan standar energi minimum yang dibutuhkan menurut umur, jenis kelamin dan tinggi badan."
K00932,Kewarganegaraan,Segala hal ihwal yang berhubungan dengan warga negara.
K01754,Klinik,Fasilitas pelayanan kesehatan yang menyelenggarakan pelayanan kesehatan perorangan yang menyediakan pelayanan medis dasar dan/atau spesialistis.
K00938,Kloset,"Tempat buang air besar, dapat terbuat dari porselen atau lainnya dan dipasang di dalam kamar kecil."
K00942,Koleksi Perpustakaan,"Semua informasi dalam bentuk karya tulis, karya cetak, dan/atau karya rekam dalam berbagai media yang mempunyai nilai pendidikan, yang dihimpun, diolah, dan dilayankan."
K00951,Kompetensi Sosial Kultural,"Pengetahuan, keterampilan, dan sikap/perilaku yang dapat diamati, diukur, dan dikembangkan terkait dengan pengalaman berinteraksi dengan masyarakat majemuk dalam hal agama, suku dan budaya, perilaku, wawasan kebangsaan, etika, nilai-nilai, moral, emosi dan prinsip, yang harus dipenuhi oleh setiap pemegang jabatan untuk memperoleh hasil kerja sesuai dengan peran, fungsi dan jabatan."
K00952,Kompetensi Teknis,"Pengetahuan, keterampilan, dan sikap/perilaku yang dapat diamati, diukur, dan dikembangkan yang spesiflk berkaitan dengan bidang teknis jabatan."
K00955,Komputer,"Alat elektronik otomatis yang dapat menghitung atau mengolah data secara cermat menurut instruksi, dan memberikan hasil pengolahan, serta dapat menjalankan sistem multimedia (film, musik, televisi, faksimile, dan sebagainya), biasanya terdiri atas unit pemasukan, unit pengeluaran, unit penyimpanan, serta unit pengontrolan."
K00957,Komuter,Penduduk yang melakukan perjalanan rutin pergi dan pulang setiap hari antara tempat tinggal dan tempat kegiatan yang berbeda wilayah administrasi.
K00960,Kondisi Membahayakan Manusia,"Keadaan yang disebabkan suatu peristiwa yang menimpa, membahayakan, dan/atau mengancam keselamatan manusia, selain kecelakaan dan bencana."
K00959,Kondisi Usaha,Keadaan baik atau lancar dan tersendatnya perjalanan usaha.
K00962,Konflik Sosial,Perseteruan dan/atau benturan fisik dengan kekerasan antara dua kelompok masyarakat atau lebih yang berlangsung dalam waktu tertentu dan berdampak luas yang mengakibatkan ketidakamanan dan disintegrasi sosial sehingga mengganggu stabilitas nasional dan menghambat pembangunan nasional.
K00695,Konstruksi,"Segala sesuatu yang berhubungan dengan pembangunan, perbaikan, penambahan, maupun perubahan suatu bangunan."
K00970,Kontrasepsi,"Cara mencegah kehamilan dengan menggunakan alat/obat pencegah kehamilan seperti spiral, kondom, pil anti hamil, dll atau dengan metode alami yang dipercaya dapat mencegah kehamilan seperti pantang berkala, senggama terputus, metode menyusui alami, dan lainnya."
K00973,Koperasi,Perserikatan yang bertujuan memenuhi keperluan para anggotanya dengan cara menjual barang keperluan sehari-hari dengan harga murah (tidak bermaksud mencari untung).
K00974,Korban,"Orang yang mengalami penderitaan, meninggal dunia, atau hilang akibat kecelakaan, bencana, tindak kejahatan, dan/atau kondisi membahayakan manusia."
K00985,Korupsi,"Perbuatan memperkaya diri sendiri, orang lain, atau korporasi secara melawan hukum yang merugikan keuangan negara dan perekonomian negara."
K00988,Kosmetik,"Bahan atau sediaan yang dimaksudkan untuk digunakan pada bagian luar tubuh manusia, seperti epidermis, rambut, kuku, bibir, organ genital bagian luar, gigi, dan membran mukosa mulut, terutama untuk membersihkan, mewangikan, mengubah penampilan, memperbaiki bau badan, atau melindungi dan memelihara tubuh pada kondisi baik."
K00989,Kota,"Daerah swantara tingkat II yang dikepalai oleh wali kota, setingkat dengan kabupaten dan merupakan bagian langsung dari provinsi."
K00991,Kredit,Pinjaman uang dengan pembayaran pengembalian secara mengangsur.
K01234,Kredit Bermasalah atau Pembiayaan Bermasalah/Nonperforming Loans,"Kredit atau pembiayaan yang pembayaran pengembaliannya kurang lancar, diragukan, dan macet kepada pihak ketiga bukan bank."
K00818,Kurang Gizi,Kegagalan seseorang untuk mencapai berat badan yang ideal karena tidak terpenuhinya energi dan zat-zat gizi yang diperlukan tubuh.
K01011,Kursus,"Penyelenggaraan pendidikan nonformal yang mempunyai kurikulum tertentu pada jangka waktu tertentu dan tempat tertentu yang dikelola oleh suatu lembaga atau yayasan, atau pelajaran tentang suatu pengetahuan atau keterampilan yang diberikan dalam waktu singkat."
K01012,Kusta,Penyakit menahun yang disebabkan oleh bakteri Mycobacterum leprae yang menyerang kulit dan saraf yang secara perlahan-lahan menyebabkan kerusakan pada anggota tubuh.
K01019,Lahan,"Bagian daratan dari permukaan bumi sebagai suatu lingkungan fisik yang meliputi tanah beserta segenap faktor yang mempengaruhi penggunaannya seperti iklim, relief, aspek geologi, dan hidrologi yang terbentuk secara alami maupun akibat pengaruh manusia."
K01031,Lahan Kritis,"Lahan yang tidak mampu lagi berperan sebagai unsur produksi pertanian, baik sebagai media pengatur tata air maupun sebagai perlindungan alam lingkungan."
K01036,Lahan Pertanian/Agricultural Land,Lahan yang digunakan untuk mengusahakan tanaman pangan dan memelihara ternak.
K01044,Lahan Terbangun,Area tidak bervegetasi yang memiliki tutupan lahan buatan yang biasanya bersifat kedap air dan relatif permanen.
K01049,Lalu Lintas,"Perhubungan antara sebuah tempat dengan tempat yang lain (dengan jalan pelayaran, kereta api, dan sebagainya)."
K01056,Lantai,"Bagian bawah/dasar/alas suatu ruangan, baik terbuat dari marmer/granit, keramik, parket/vinil/karpet, ubin/tegel/teraso, kayu/papan, semen/bata merah, bambu, tanah, dan lainnya."
K01058,Lapangan Usaha,"Bidang kegiatan dari suatu usaha/perusahaan, yang didasarkan pada: 1. aktivitas dengan nilai produksi/pendapatan terbesar; 2. jika nilai produksi/pendapatan besarnya sama, aktivitas utama ditentukan dari volume produksi/penjualan terbesar; 3. jika nilai produksi/pendapatan dan volume produksi/penjualan sama, aktivitas usaha ditentukan dari waktu terbanyak yang digunakan; 4. jika nilai produksi/pendapatan, volume, dan waktunya sama, aktivitas usaha ditentukan dari pernyataan responden."
K01063,Laut,Ruang perairan di muka bumi yang menghubungkan daratan dengan daratan dan bentuk-bentuk alamiah lainnya yang merupakan kesatuan geografis dan ekologis beserta segenap unsur terkait dan yang batas dan sistemnya ditentukan oleh peraturan perundang-undangan dan hukum internasional.
K02366,Lembaga,Badan (organisasi) yang tujuannya melakukan suatu penyelidikan keilmuan atau melakukan suatu usaha.
K01071,Lembaga Eksekutif,Lembaga dalam suatu sistem pemerintahan yang bertugas untuk menjalankan undang-undang.
K01077,Lembaga Legislatif,Lembaga dalam sistem pemerintahan yang berwenang membuat undang-undang.
K01093,Lereng,Wilayah yang memiliki perbedaan elevasi atau ketinggian dengan wilayah di sekitarnya -5 hingga 30 meter di atas permukaan laut.
K01097,Limbah,"Bahan/barang sisa atau bekas dari suatu kegiatan dan/atau proses produksi yang fungsinya sudah berubah dari aslinya, termasuk sampah, kecuali yang dapat dimakan atau diminum oleh manusia dan/atau hewan."
K01105,Lingkungan Hidup,"Kesatuan ruang dengan semua benda, daya, keadaan, dan makhluk hidup, termasuk manusia dan perilakunya, yang memengaruhi peri kehidupan dan kesejahteraan manusia serta makhluk hidup lain."
K01111,Listrik,"Daya atau kekuatan yang ditimbulkan oleh adanya pergesekan atau melalui proses kimia, dapat digunakan untuk menghasilkan panas atau cahaya, atau untuk menjalankan mesin."
K01112,Literasi,"Kemampuan mengidentifikasi, memahami, menafsirkan, menciptakan, berkomunikasi, menghitung, serta menggunakan bahan cetak dan tertulis yang terkait dengan berbagai konteks."
K01115,Logistik,"Bagian dari rantai pasok/supply chain yang menangani arus barang, arus informasi dan arus uang melalui proses pengadaan/procurement, penyimpanan/warehousing, transportasi/transportation, distribusi/distribution, dan pelayanan pengantaran/delivery services sesuai dengan jenis, kualitas, jumlah, waktu dan tempat yang dikehendaki konsumen, secara aman, efektif dan efisien, mulai dari titik asal/point of origin sampai dengan titik tujuan/point of destination."
K01119,Lowongan Pekerjaan,"Kebutuhan tenaga kerja dengan jumlah dan persyaratan tertentu untuk mengisi jabatan/jenis pekerjaan yang tersedia dari pemberi kerja, baik di dalam maupun di luar hubungan kerja."
K01131,Makanan,"Segala zat, baik mentah maupun yang telah diproses, yang dimaksudkan untuk konsumsi manusia; termasuk minuman dan zat yang digunakan dalam pembuatannya, termasuk bahan yang telah rusak dan karenanya tidak lagi layak untuk dikonsumsi manusia, tetapi tidak termasuk kosmetik, tembakau, atau zat yang hanya digunakan sebagai obat."
K01133,Malaria,"Penyakit infeksi yang banyak dijumpai di daerah tropis, disertai gejala demam dan turun naiknya suhu yang tidak teratur, ditularkan oleh nyamuk anofeles."
K01137,Maritim,"Hal yang berhubungan dengan laut dan/atau kegiatan di wilayah laut yang meliputi dasar laut dan tanah di bawahnya, kolom air dan permukaan laut, termasuk wilayah pesisir dan pulau-pulau."
K01287,Materi Partikulat/Particulate Matter,"Partikel udara yang sangat kecil atau halus, misalnya debu dan asap."
K01152,Mediasi,Proses pengikutsertaan pihak ketiga dalam penyelesaian suatu perselisihan sebagai penasihat.
K01153,Mediator,"Orang atau pihak yang menjadi penengah dalam perselisihan, perbantahan, dan sebagainya; atau penghubung, misalnya dalam perundingan."
K01824,Melahirkan/Kelahiran,"Proses keluarnya janin dari dalam kandungan ibu ke dunia, mulai dari timbulnya tanda-tanda kelahiran, seperti rasa mulas yang berangsur-angsur semakin sering, semakin lama, dan semakin kuat; rahim terasa kencang; keluarnya lendir bercampur darah dari jalan lahir (vagina); keluarnya cairan ketuban yang berwarna jernih kekuningan dari jalan lahir; dan merasa seperti mau buang air besar bila bayi akan lahir; hingga proses keluarnya bayi, pemotongan tali pusat, dan keluarnya plasenta."
K01154,Melek Huruf/Aksara,Kondisi seseorang yang memiliki kemampuan membaca dan menulis kalimat sederhana dengan huruf latin dan/atau huruf lainnya.
K02367,Mengulang Kelas,Peserta didik yang belum mencapai kriteria ketuntasan minimal (KKM) dan harus mengulang pembelajaran pada tingkat pendidikan dan satuan pendidikan yang sama dengan tahun ajaran sebelumnya.
K01173,Merokok,Aktivitas membakar tembakau maupun cerutu kemudian menghisap asapnya baik menggunakan rokok maupun pipa; setiap hari maupun kadang-kadang.
K01175,Mesin Produksi,"Perkakas untuk menggerakkan atau membuat sesuatu yang dijalankan dengan roda, digerakkan oleh tenaga manusia atau motor penggerak, dan menggunakan bahan bakar minyak atau tenaga alam, yang digunakan dalam proses produksi."
K01177,Metode Pembelajaran,Cara-cara yang dilakukan untuk menyampaikan atau menanamkan pengetahuan kepada peserta didik melalui sebuah kegiatan belajar mengajar.
K01180,Migran,Penduduk yang melakukan perpindahan tempat tinggal melewati batas wilayah administratif dan telah tinggal atau bermaksud tinggal satu tahun atau lebih.
K01182,Migran Risen,Seseorang yang wilayah tempat tinggalnya berbeda dengan wilayah tempat tinggalnya lima tahun yang lalu.
K01183,Migran Seumur Hidup,Orang yang tinggal di daerah yang bukan tempat kelahirannya.
K00089,Minuman Keras,Minuman beralkohol yang dapat menyebabkan peminumnya mabuk dan hilang kesadaran.
K01197,Modal,"Harta benda, baik uang maupun barang, yang dapat dipergunakan untuk menghasilkan sesuatu yang menambah kekayaan dan sebagainya."
K02204,Modal Inti,"Modal atau cadangan langsung yang dapat digunakan bank untuk mendanai aktivitasnya atau menjalankan fungsinya, yang terdiri dari modal inti utama (common equity tier 1) dan modal inti tambahan (additional tier 1)."
K01200,Mogok Kerja,Tindakan pekerja/buruh yang direncanakan dan dilaksanakan secara bersama-sama oleh serikat pekerja/serikat buruh untuk menghentikan atau memperlambat pekerjaan.
