id_standar,nama_data,konsep_kode,definisi,klasifikasi_penyajian,klasifikasi_isian,is_klasifikasi,ukuran,satuan
10310031,Persentase Peserta Didik yang Melakukan Kegiatan Belajar di Luar Jam Sekolah,"K01735 Peserta Didik|
K00240 Belajar|",Bagian dari seluruh penduduk yang masih bersekolah yang melakukan kegiatan belajar di luar jam sekolah selama tiga bulan terakhir.,32010026 Wilayah|,-,0,Persentase,persen
10310032,Persentase Peserta Didik yang Menerima Beasiswa/Bantuan Pendidikan,"K01735 Peserta Didik|
K00234 Beasiswa|",Bagian dari seluruh penduduk berumur 5 tahun ke atas yang masih bersekolah pada tahun ajaran sebelumnya yang menerima beasiswa/bantuan pendidikan.,32010026 Wilayah|,-,0,Persentase,persen
10310070,Persentase Peserta Didik yang Mengulang Kelas,"K01735 Peserta Didik|
K02367 Mengulang Kelas|",Bagian seluruh peserta didik pada tahun ajaran sebelumnya yang belum mencapai kriteria ketuntasan minimal (KKM) dan harus mengulang pembelajaran pada tingkat pendidikan dan satuan pendidikan yang sama dengan tahun ajaran sebelumnya.,"32010026 Wilayah|
10320076 Tingkatan Kelas Pendidikan|",-,0,Persentase,persen
10310071,Persentase Satuan Pendidikan dengan Akses Listrik,"K01971 Satuan Pendidikan|
K01111 Listrik|",Bagian dari populasi satuan pendidikan yang yang memiliki akses listrik.,"32010026 Wilayah|
10320051 Status Satuan Pendidikan|
10320055 Tingkat Pendidikan|
10320009 Jenjang Pendidikan|",-,0,Persentase,persen
10310072,Persentase Satuan Pendidikan Sekolah Luar Biasa (SLB) yang Memiliki Akses Komputer untuk Pembelajaran,"K01971 Satuan Pendidikan|
K01978 Sekolah Luar Biasa (SLB)|
K00955 Komputer|","Bagian dari populasi satuan pendidikan sekolah luar biasa (SLB) yang memiliki akses komputer, tidak termasuk komputer yang tertanam pada perangkat elektronik, yang digunakan untuk proses belajar.","32010026 Wilayah|
10320051 Status Satuan Pendidikan|",-,0,Persentase,persen
10310033,Rasio Angka Partisipasi Kasar (APK) Perguruan Tinggi antara Kuintil Penghasilan Terbawah dan Teratas,"K01289 Partisipasi Sekolah|
K01651 Perguruan Tinggi|","Angka yang menggambarkan ketimpangan partisipasi antara penduduk miskin (pengeluaran 20 persen terbawah) dan kaya (pengeluaran 20 persen teratas) yang sedang duduk di bangku kuliah secara umum, baik penduduk yang berusia kuliah maupun tidak.","32010026 Wilayah|
32020020 Klasifikasi Wilayah|",-,0,Rasio,persen
10310034,Rasio Angka Partisipasi Kasar (APK) Perguruan Tinggi antara Penduduk Disabilitas dan non-Disabilitas,"K01289 Partisipasi Sekolah|
K01651 Perguruan Tinggi|","Angka yang menggambarkan ketimpangan partisipasi antara penduduk dengan disabilitas dan tanpa disabilitas yang sedang duduk di bangku kuliah secara umum, baik penduduk yang berusia kuliah maupun tidak.","32010026 Wilayah|
32020020 Klasifikasi Wilayah|",-,0,Rasio,persen
10310035,Rasio Angka Partisipasi Kasar (APK) Perguruan Tinggi antara Penduduk Perdesaan dan Perkotaan,"K01289 Partisipasi Sekolah|
K01651 Perguruan Tinggi|","Angka yang menggambarkan ketimpangan partisipasi antara penduduk di perdesaan dan perkotaan yang sedang duduk di bangku kuliah secara umum, baik penduduk yang berusia kuliah maupun tidak.","32010026 Wilayah|
10620071 Status Disabilitas|",-,0,Rasio,persen
10310036,Rasio Angka Partisipasi Kasar (APK) Perguruan Tinggi antara Perempuan dan Laki-laki,"K01289 Partisipasi Sekolah|
K01651 Perguruan Tinggi|","Angka yang menggambarkan ketimpangan partisipasi antara penduduk perempuan dan laki-laki yang sedang duduk di bangku kuliah secara umum, baik penduduk yang berusia kuliah maupun tidak.","32010026 Wilayah|
10620071 Status Disabilitas|",-,0,Rasio,persen
10310045,Rasio Angka Partisipasi Kasar (APK) SD Sederajat antara Kuintil Penghasilan Terbawah dan Teratas,"K01289 Partisipasi Sekolah|
K01977 Sekolah Dasar (SD)|",Angka yang menggambarkan ketimpangan partisipasi antara penduduk usia SD sederajat (7—12 tahun) miskin (pengeluaran kuintil terbawah) dan kaya (pengeluaran kuintil teratas) yang sedang duduk di bangku SD sederajat.,"32010026 Wilayah|
10620071 Status Disabilitas|
32020020 Klasifikasi Wilayah|",-,0,Rasio,persen
10310046,Rasio Angka Partisipasi Kasar (APK) SD Sederajat antara Penduduk Disabilitas dan non-Disabilitas,"K01289 Partisipasi Sekolah|
K01977 Sekolah Dasar (SD)|",Angka yang menggambarkan ketimpangan partisipasi antara penduduk usia SD sederajat (7—12 tahun) dengan disabilitas dan tanpa disabilitas yang sedang duduk di bangku SD sederajat.,32010026 Wilayah|,-,0,Rasio,persen
10310047,Rasio Angka Partisipasi Kasar (APK) SD Sederajat antara Penduduk Perdesaan dan Perkotaan,"K01289 Partisipasi Sekolah|
K01977 Sekolah Dasar (SD)|",Angka yang menggambarkan ketimpangan partisipasi antara penduduk usia SD sederajat (7—12 tahun) di perdesaan dan perkotaan yang sedang duduk di bangku SD sederajat.,"32010026 Wilayah|
10620071 Status Disabilitas|",-,0,Rasio,persen
10310048,Rasio Angka Partisipasi Kasar (APK) SD Sederajat antara Penduduk Perempuan dan Laki-laki,"K01289 Partisipasi Sekolah|
K01977 Sekolah Dasar (SD)|",Angka yang menggambarkan ketimpangan partisipasi antara penduduk usia SD sederajat (7—12 tahun) perempuan dan laki-laki yang sedang duduk di bangku SD sederajat.,"32010026 Wilayah|
32020020 Klasifikasi Wilayah|
10620071 Status Disabilitas|",-,0,Rasio,persen
10310037,Rasio Angka Partisipasi Kasar (APK) SMA/SMK Sederajat antara Kuintil Penghasilan Terbawah dan Teratas,"K01289 Partisipasi Sekolah|
K01979 Sekolah Menengah Atas (SMA)|
K01981 Sekolah Menengah Kejuruan (SMK)|","Angka yang menggambarkan ketimpangan partisipasi antara penduduk miskin (pengeluaran kuintil terbawah) dan kaya (pengeluaran kuintil teratas) yang sedang duduk di bangku SMA/SMK sederajat secara umum, baik penduduk yang berusia SMA/SMK sederajat maupun tidak.","32010026 Wilayah|
32020020 Klasifikasi Wilayah|",-,0,Rasio,persen
10310038,Rasio Angka Partisipasi Kasar (APK) SMA/SMK Sederajat antara Penduduk Disabilitas dan non-Disabilitas,"K01289 Partisipasi Sekolah|
K01979 Sekolah Menengah Atas (SMA)|
K01981 Sekolah Menengah Kejuruan (SMK)|","Angka yang menggambarkan ketimpangan partisipasi antara penduduk dengan disabilitas dan tanpa disabilitas yang sedang duduk di bangku SMA/SMK sederajat secara umum, baik penduduk yang berusia SMA/SMK sederajat maupun tidak.","32010026 Wilayah|
32020020 Klasifikasi Wilayah|",-,0,Rasio,persen
10310039,Rasio Angka Partisipasi Kasar (APK) SMA/SMK Sederajat antara Penduduk Perdesaan dan Perkotaan,"K01289 Partisipasi Sekolah|
K01979 Sekolah Menengah Atas (SMA)|
K01981 Sekolah Menengah Kejuruan (SMK)|","Angka yang menggambarkan ketimpangan partisipasi antara penduduk di perdesaan dan perkotaan yang sedang duduk di bangku SMA/SMK sederajat secara umum, baik penduduk yang berusia SMA/SMK sederajat maupun tidak.","32010026 Wilayah|
10620071 Status Disabilitas|",-,0,Rasio,persen
10310040,Rasio Angka Partisipasi Kasar (APK) SMA/SMK Sederajat antara Penduduk Perempuan dan Laki-laki,"K01289 Partisipasi Sekolah|
K01979 Sekolah Menengah Atas (SMA)|
K01981 Sekolah Menengah Kejuruan (SMK)|","Angka yang menggambarkan ketimpangan partisipasi antara penduduk perempuan dan laki-laki yang sedang duduk di bangku SMA/SMK sederajat secara umum, baik penduduk yang berusia SMA/SMK sederajat maupun tidak.","32010026 Wilayah|
10620071 Status Disabilitas|
32020020 Klasifikasi Wilayah|",-,0,Rasio,persen
10310041,Rasio Angka Partisipasi Kasar (APK) SMP Sederajat antara Kuintil Penghasilan Terbawah dan Teratas,"K01289 Partisipasi Sekolah|
K01984 Sekolah Menengah Pertama (SMP)|","Angka yang menggambarkan ketimpangan partisipasi antara penduduk miskin (pengeluaran kuintil terbawah) dan kaya (pengeluaran kuintil teratas) yang sedang duduk di bangku SMP sederajat secara umum, baik penduduk yang berusia SMP sederajat maupun tidak.","32010026 Wilayah|
10620071 Status Disabilitas|
32020020 Klasifikasi Wilayah|",-,0,Rasio,persen
10310043,Rasio Angka Partisipasi Kasar (APK) SMP Sederajat antara Penduduk Perdesaan dan Perkotaan,"K01289 Partisipasi Sekolah|
K01984 Sekolah Menengah Pertama (SMP)|","Angka yang menggambarkan ketimpangan partisipasi antara penduduk di perdesaan dan perkotaan yang sedang duduk di bangku SMP sederajat secara umum, baik penduduk yang berusia SMP sederajat maupun tidak.","32010026 Wilayah|
10620071 Status Disabilitas|",-,0,Rasio,persen
10310044,Rasio Angka Partisipasi Kasar (APK) SMP Sederajat antara Penduduk Perempuan dan Laki-laki,"K01289 Partisipasi Sekolah|
K01984 Sekolah Menengah Pertama (SMP)|","Angka yang menggambarkan ketimpangan partisipasi antara penduduk perempuan dan laki-laki yang sedang duduk di bangku SMP sederajat secara umum, baik penduduk yang berusia SMP sederajat maupun tidak.","32010026 Wilayah|
32020020 Klasifikasi Wilayah|
10620071 Status Disabilitas|",-,0,Rasio,persen
10310042,Rasio Angka Partisipasi Kasar (APK) SMP Sederajat antara Penduduk Disabilitas dan non-Disabilitas,"K01289 Partisipasi Sekolah|
K01984 Sekolah Menengah Pertama (SMP)|","Angka yang menggambarkan ketimpangan partisipasi antara penduduk dengan disabilitas dan tanpa disabilitas yang sedang duduk di bangku SMP sederajat secara umum, baik penduduk yang berusia SMP sederajat maupun tidak.","32010026 Wilayah|
32020020 Klasifikasi Wilayah|",-,0,Rasio,persen
10310049,Rasio Angka Partisipasi Sekolah (APS) Anak Berusia 7—17 Tahun antara Penduduk Disabilitas dan non-Disabilitas,"K01289 Partisipasi Sekolah|
K00388 Disabilitas|",Angka yang menggambarkan ketimpangan partisipasi sekolah antara penduduk berusia 7—17 tahun dengan disabilitas dan tanpa disabilitas.,32010026 Wilayah|,-,0,Rasio,persen
10310073,Rasio Peserta Didik terhadap Pendidik,"K01735 Peserta Didik|
K02183 Pendidik|","Perbandingan antara jumlah anggota masyarakat yang berusaha mengembangkan potensi diri melalui proses pembelajaran yang tersedia pada jalur, jenjang, dan jenis pendidikan tertentu terhadap tenaga kependidikan  yang berkualifikasi sebagai guru, dosen, konselor, pamong belajar, widyaiswara, tutor, instruktur, fasilitator, dan sebutan lain yang sesuai dengan kekhususannya.","32010026 Wilayah|
10320055 Tingkat Pendidikan|",-,0,Rasio,-
10310074,Rasio Peserta Didik terhadap Rombongan Belajar,"K01735 Peserta Didik|
K01904 Rombongan Belajar|","Perbandingan antara jumlah anggota masyarakat yang berusaha mengembangkan potensi diri melalui proses pembelajaran yang tersedia pada jalur, jenjang, dan jenis pendidikan tertentu terhadap kelompok peserta didik yang terdaftar pada satuan kelas dalam satu satuan pendidikan.","32010026 Wilayah|
10320051 Status Satuan Pendidikan|
10320055 Tingkat Pendidikan|",-,0,Rasio,orang per rombongan belajar
10310050,Rata-rata Lama Sekolah (RLS),K01289 Partisipasi Sekolah|,Rata-rata lamanya masa yang dilalui dalam menjalani pendidikan formal.,"32010026 Wilayah|
33220007 Jenis Kelamin|",-,0,Rata-rata,tahun
10310052,Tingkat Partisipasi dalam Pembelajaran yang Teroganisasi (Satu Tahun Sebelum Usia Sekolah Dasar),K02373 Pendidikan|,"Angka yang menggambarkan partisipasi anak berumur 6 tahun (satu tahun sebelum usia resmi masuk sekolah dasar) dalam program pendidikan yang terorganisir, yaitu: a. pendidikan anak usia dini (pra-sekolah) yang meliputi Taman Kanak-kanak (TK), Raudhatul Athfal (RA), Bustanul Athfal (BA) dan PAUD| dan b. sekolah dasar sederajat.","32010026 Wilayah|
33220007 Jenis Kelamin|
32020020 Klasifikasi Wilayah|
10620071 Status Disabilitas|",-,0,Persentase,persen
10310053,Tingkat Partisipasi dalam Pendidikan dan Pelatihan Formal dan non-Formal,"K02373 Pendidikan|
K01354 Pelatihan|",Angka yang menggambarkan partisipasi penduduk dari kelompok usia tertentu dalam mengikuti pendidikan dan pelatihan formal atau nonformal dalam kurun waktu 12 bulan terakhir.,"32010026 Wilayah|
33220007 Jenis Kelamin|",-,0,Persentase,persen
10310057,Tingkat Penyelesaian Pendidikan Jenjang SD Sederajat,"K02098 Tamat Sekolah|
K01977 Sekolah Dasar (SD)|",Bagian dari populasi penduduk berusia 13 sampai dengan 15 tahun yang telah menamatkan pendidikan tingkat sekolah dasar atau sederajat.,32010026 Wilayah|,-,0,Persentase,persen
10310058,Tingkat Penyelesaian Pendidikan Jenjang SMA Sederajat,"K02098 Tamat Sekolah|
K01979 Sekolah Menengah Atas (SMA)|",Bagian dari populasi penduduk berusia 16 sampai dengan 18 tahun yang telah menamatkan pendidikan tingkat menengah pertama atau sederajat.,32010026 Wilayah|,-,0,Persentase,persen
10310059,Tingkat Penyelesaian Pendidikan Jenjang SMP Sederajat,"K02098 Tamat Sekolah|
K01984 Sekolah Menengah Pertama (SMP)|",Bagian dari populasi penduduk berusia 19 sampai dengan 21 tahun yang telah menamatkan pendidikan tingkat sekolah menengah atas atau sederajat.,32010026 Wilayah|,-,0,Persentase,persen
10410004,Angka Fertilitas Spesifik Umur/Age-specific Fertilty Rate (ASFR),"K02352 Fertilitas|
K00819 Kelahiran Hidup|",Angka yang menggambarkan banyaknya kelahiran pada suatu tahun dari perempuan usia subur (15—49 tahun) dengan kelompok umur tertentu pada setiap 1.000 perempuan dalam kelompok umur yang sama di pertengahan tahun tersebut.,"32010026 Wilayah|
10320055 Tingkat Pendidikan|
32020020 Klasifikasi Wilayah|",-,0,Tingkat,kelahiran perseribu perempuan
10410005,Angka Fertilitas Total/Total Fertility Rate (TFR),"K02352 Fertilitas|
K00819 Kelahiran Hidup|",Angka yang menggambarkan rata-rata jumlah anak yang dilahirkan seorang perempuan selama masa usia suburnya.,"32010026 Wilayah|
32020020 Klasifikasi Wilayah|
10320055 Tingkat Pendidikan|",-,0,Tingkat,kelahiran
10410001,Angka Keberhasilan Pengobatan Tuberkulosis,K02230 Tuberkulosis (TB)|,"Angka yang menggambarkan bagian dari seluruh kasus tuberkulosis yang ditemukan dan diobati, yang mendapat pengobatan lengkap dan sembuh.",32010026 Wilayah|,-,0,Persentase,persen
10410188,Angka Kelahiran Kasar/Crude Birth Rate (CBR),K00819 Kelahiran Hidup|,Banyaknya kelahiran hidup pada tahun tertentu dalam setiap seribu penduduk-pertengahan-tahun pada tahun yang sama.,32010026 Wilayah|,-,0,Tingkat,kelahiran hidup perseribu penduduk
10410189,Angka Kematian Anak/Child Mortality Rate (CMR),"K00845 Kematian/Mortalitas|
K00091 Anak|",Banyaknya kematian penduduk berumur 1—4 tahun pada tahun tertentu dalam setiap seribu kelahiran hidup.,32010026 Wilayah|,-,0,Tingkat,kematian perseribu kelahiran hidup
10410007,Angka Kematian Balita (AKBa)/Under-Five Mortality Rate (U5MR),"K00845 Kematian/Mortalitas|
K00206 Balita|",Angka yang menggambarkan banyaknya kematian anak berusia 0—4 tahun selama satu tahun tertentu pada setiap 1.000 anak dengan kelompok umur yang sama.,32010026 Wilayah|,-,0,Tingkat,kematian perseribu anak
10410008,Angka Kematian Bayi (AKB)/Infant Mortality Rate (IMR),"K00845 Kematian/Mortalitas|
K00232 Bayi|",Angka yang menggambarkan banyaknya kematian bayi berumur di bawah satu tahun pada setiap 1.000 kelahiran hidup.,"32010026 Wilayah|
32020020 Klasifikasi Wilayah|
10320055 Tingkat Pendidikan|
33220007 Jenis Kelamin|",-,0,Tingkat,kematian perseribu kelahiran hidup
10410009,Angka Kematian Ibu (AKI)/Maternal Mortality Ratio (MMR),K00842 Kematian Ibu/Maternal Mortality|,"Angka yang menggambarkan banyaknya perempuan yang meninggal dari suatu penyebab kematian yang terkait dengan gangguan kehamilan atau penanganannya (tidak termasuk kecelakaan, bunuh diri atau kasus insidentil) selama masa kehamilan, melahirkan, dan masa nifas (42 hari setelah melahirkan) tanpa memperhitungkan lama kehamilan untuk setiap 100.000 kelahiran hidup.",32010026 Wilayah|,-,0,Tingkat,kematian perseratus ribu kelahiran hidup
10410190,Angka Kematian Kasar/Crude Death Rate (CDR),K00845 Kematian/Mortalitas|,Banyaknya kematian yang terjadi pada suatu tahun tertentu dalam setiap seribu penduduk.,32010026 Wilayah|,-,0,Tingkat,kematian perseribu penduduk
10410010,Angka Kematian Neonatal,"K00845 Kematian/Mortalitas|
K00232 Bayi|",Angka yang menggambarkan banyaknya anak yang meninggal dalam periode 28 hari pertama kehidupan untuk setiap 1.000 kelahiran hidup.,32010026 Wilayah|,-,0,Tingkat,kematian perseribu kelahiran hidup
10410191,Angka Kematian Spesifik Umur/Age-spesific Death Rate (ASDR),K00845 Kematian/Mortalitas|,Banyaknya kematian pada kelompok umur tertentu dalam setiap seribu penduduk dalam kelompok umur yang sama.,"32010026 Wilayah|
10120066 Umur/Usia|",-,0,Tingkat,kematian perseribu penduduk kelompok umur tertentu
10410011,Angka Kesakitan Demam Berdarah Dengue (DBD),"K00894 Kesakitan/Morbiditas|
K00369 Demam Berdarah Dengue (DBD)|",Banyaknya kasus baru demam berdarah dengue pada kurun waktu tertentu dalam setiap 100.000 penduduk pada kurun waktu yang sama.,32010026 Wilayah|,-,0,Tingkat,kasus perseratus ribu penduduk
10410012,Angka Kesakitan Lanjut Usia,"K00894 Kesakitan/Morbiditas|
K01055 Orang Lanjut Usia (Lansia)|",Bagian dari seluruh penduduk berumur 60 tahun ke atas yang mengalami keluhan kesehatan.,32010026 Wilayah|,-,0,Persentase,persen
10410013,Angka Kesakitan Malaria,"K00894 Kesakitan/Morbiditas|
K01133 Malaria|",Banyaknya kasus positif malaria yang dibuktikan dengan pemeriksaan sediaan darah pada setiap 1000 penduduk.,32010026 Wilayah|,-,0,Tingkat,kasus perseribu penduduk
10410192,Angka Kesakitan/Morbiditas,K00894 Kesakitan/Morbiditas|,Bagian dari seluruh penduduk yang mengalami satu atau lebih jenis keluhan dalam satu bulan terakhir dan mengalami gangguan dalam melakukan kegiatan sehari-hari.,32010026 Wilayah|,-,0,Persentase,persen
10410015,Angka Penemuan dan Pengobatan Tuberkulosis,K02230 Tuberkulosis (TB)|,Bagian dari perkiraan semua kasus tuberkulosis yang ditemukan dan diobati.,32010026 Wilayah|,-,0,Persentase,persen
10410016,Angka Prevalensi Kontraseptif Modern pada Kelompok Perempuan Usia Reproduksi,"K00970 Kontrasepsi|
K02314 Wanita Usia Subur (WUS)|",Bagian dari seluruh perempuan usia reproduksi (15—49 tahun) yang menggunakan alat kontrasepsi metode modern.,32010026 Wilayah|,-,0,Persentase,persen
10410014,Angka Prevalensi Kontraseptif/Contraceptive Prevalence Rate (CPR),K00970 Kontrasepsi|,Bagian dari populasi pasangan usia subur (PUS) yang aktif menggunakan salah satu alat kontrasepsi.,32010026 Wilayah|,-,0,Persentase,persen
10410194,Indeks Kapabilitas Rehabilitasi,K01870 Rehabilitasi Penyalah Guna Narkotika|,Angka yang menggambarkan kemampuan atau kapasitas lembaga rehabilitasi dalam memberikan layanan rehabilitasi bagi penyalah guna dan/atau pecandu narkoba secara berkelanjutan.,32010026 Wilayah|,-,0,Indeks,-
10410025,Jumlah Ahli Teknologi Laboratorium Medik,K00017 Ahli Teknologi Laboratorium Medik|,Banyaknya tenaga kesehatan yang memiliki kompetensi melakukan analisis terhadap cairan dan jaringan tubuh manusia untuk menghasilkan informasi tentang kesehatan perorangan dan masyarakat.,32010026 Wilayah|,-,0,Total,orang
10410026,Jumlah Desa/Kelurahan yang Memiliki Apotek,"K00371 Desa|
K00836 Kelurahan|
K00151 Apotek|","Banyaknya desa/kelurahan yang di wilayahnya terdapat sarana untuk praktik kefarmasian, dan penyaluran/penjualan obat/bahan farmasi oleh apoteker.",32010026 Wilayah|,-,0,Total,desa/ kelurahan
10410027,Jumlah Desa/Kelurahan yang Memiliki Klinik,"K00371 Desa|
K00836 Kelurahan|
K01754 Klinik|",Banyaknya desa/kelurahan yang terdapat fasilitas pelayanan kesehatan yang menyediakan pelayanan medis dasar dan/atau spesialistik.,32010026 Wilayah|,-,0,Total,desa/ kelurahan
10410028,Jumlah Desa/Kelurahan yang Memiliki Puskesmas,"K00371 Desa|
K00836 Kelurahan|
K01838 Pusat Kesehatan Masyarakat (Puskesmas)|",Banyaknya desa/kelurahan yang memiliki fasilitas pelayanan kesehatan masyarakat dan perorangan tingkat pertama.,32010026 Wilayah|,-,0,Total,desa/ kelurahan
10410029,Jumlah Desa/Kelurahan yang Memiliki Puskesmas Pembantu,"K00371 Desa|
K00836 Kelurahan|
K01838 Pusat Kesehatan Masyarakat (Puskesmas)|",Banyaknya desa/kelurahan yang memiliki sarana kesehatan yang berfungsi menunjang dan membantu memperluas jangkauan puskesmas dalam lingkup wilayah yang lebih kecil.,32010026 Wilayah|,-,0,Total,desa/ kelurahan
10410030,Jumlah Desa/Kelurahan yang Memiliki Rumah Sakit,"K00371 Desa|
K00836 Kelurahan|
K01919 Rumah Sakit|","Banyaknya desa/kelurahan yang terdapat institusi pelayanan kesehatan yang menyediakan pelayanan rawat inap, rawat jalan, dan gawat darurat.",32010026 Wilayah|,-,0,Total,desa/ kelurahan
10410031,Jumlah Desa/Kelurahan yang Memiliki Rumah Sakit Bersalin,"K00371 Desa|
K00836 Kelurahan|
K01920 Rumah Sakit Bersalin (RSB)|","Banyaknya desa/kelurahan yang terdapat fasilitas pelayanan kesehatan yang melayani persalinan, dan dilengkapi dengan pelayanan pemeriksaan kehamilan, rawat inap, dan rawat jalan ibu dan anak yang berada di bawah pengawasan dokter spesialis kandungan.",32010026 Wilayah|,-,0,Total,desa/ kelurahan
10410032,Jumlah Dokter,K00397 Dokter|,Banyaknya lulusan pendidikan kedokteran yang ahli dalam hal penyakit dan pengobatan.,32010026 Wilayah|,-,0,Total,orang
10410033,Jumlah Dokter Gigi,K00397 Dokter|,Banyaknya lulusan pendidikan kedokteran yang ahli dalam hal penyakit dan pengobatan gigi.,32010026 Wilayah|,-,0,Total,orang
10410044,Jumlah Izin Edar Produk Obat,"K00628 Izin Edar|
K01238 Obat|",Banyaknya persetujuan hasil penilaian yang diterbitkan oleh kepala badan yang berwenang dalam pengawasan obat dan makanan terhadap pelaku usaha untuk mengedarkan produk obat di wilayah Indonesia yang terdaftar dan masih berlaku.,32010026 Wilayah|,-,0,Total,dokumen
10410043,Jumlah Izin Edar Produk Obat Bahan Alam,"K00628 Izin Edar|
K01245 Obat Bahan Alam|",Banyaknya persetujuan hasil penilaian yang diterbitkan oleh kepala badan yang berwenang dalam pengawasan obat dan makanan terhadap pelaku usaha untuk mengedarkan produk obat bahan alam di wilayah Indonesia yang terdaftar dan masih berlaku.,32010026 Wilayah|,-,0,Total,dokumen
10410045,Jumlah Izin Edar Produk Pangan Olahan,"K00628 Izin Edar|
K01283 Pangan Olahan|",Banyaknya persetujuan hasil penilaian yang diterbitkan oleh kepala badan yang berwenang dalam pengawasan obat dan makanan terhadap pelaku usaha untuk mengedarkan produk pangan olahan di wilayah Indonesia yang terdaftar dan masih berlaku.,32010026 Wilayah|,-,0,Total,dokumen
10410087,Jumlah Izin Edar Produk Suplemen Kesehatan,"K00628 Izin Edar|
K02087 Suplemen Kesehatan|",Banyaknya persetujuan hasil penilaian yang diterbitkan oleh kepala badan yang berwenang dalam pengawasan obat dan makanan terhadap pelaku usaha untuk mengedarkan produk suplemen kesehatan di wilayah Indonesia yang terdaftar dan masih berlaku.,32010026 Wilayah|,-,0,Total,dokumen
10410035,Jumlah Kabupaten/Kota yang Mencapai Eliminasi Filariasis,"K00709 Kabupaten|
K00989 Kota|
K00428 Eliminasi Penyakit|
K01593 Penyakit Kaki Gajah (Filariasis)|",Banyaknya kabupaten/kota yang telah mencapai pengurangan kasus penyakit filariasis/kaki gajah menjadi di bawah 1% pada tahun tertentu.,32010026 Wilayah|,-,0,Total,kabupaten/ kota
10410034,Jumlah Kabupaten/Kota yang Mencapai Eliminasi Kusta,"K00709 Kabupaten|
K00989 Kota|
K00428 Eliminasi Penyakit|
K01012 Kusta|",Banyaknya kabupaten/kota yang telah mencapai pengurangan kasus penyakit kusta (kurang dari satu kasus per 10.000 penduduk) pada tahun tertentu.,32010026 Wilayah|,-,0,Total,kabupaten/ kota
10410036,Jumlah Kabupaten/Kota yang Mencapai Eliminasi Malaria,"K00709 Kabupaten|
K00989 Kota|
K00428 Eliminasi Penyakit|
K01133 Malaria|",Banyaknya kabupaten/kota yang telah mencapai pengurangan kasus penyakit malaria pada tahun tertentu.,32010026 Wilayah|,-,0,Total,kabupaten/ kota
10410037,Jumlah Kasus Baru Acquired Immuno Deficiency Syndrome (AIDS),K00002 Acquired Immuno Deficiency Syndrome (AIDS)|,"Banyaknya kasus baru acquired immune deficiency syndrome (AIDS) yang ditandai dengan adanya gejala mayor, gejala minor, dan tidak ada sebab-sebab imunosupresi yang diketahui seperti kanker, malnutrisi berat, atau etiologi lainnya.",32010026 Wilayah|,-,0,Total,kasus
10410195,Jumlah Kematian Balita,"K00845 Kematian/Mortalitas|
K00206 Balita|",Banyaknya kematian yang terjadi pada penduduk berumur di bawah 5 tahun di suatu wilayah.,"32010026 Wilayah|
32020020 Klasifikasi Wilayah|
33220007 Jenis Kelamin|",-,0,Total,kejadian
10410196,Jumlah Kematian Ibu,K00842 Kematian Ibu/Maternal Mortality|,"Banyaknya kematian perempuan pada saat hamil atau kematian dalam kurun waktu 42 hari sejak terminasi kehamilan tanpa memandang lamanya kehamilan atau tempat persalinan, yakni kematian yang disebabkan karena kehamilannya atau pengelolaannya, tetapi bukan karena sebab-sebab lain seperti kecelakaan, terjatuh, dll.",32010026 Wilayah|,-,0,Total,kejadian
10410197,Jumlah Kematian Penduduk,"K00845 Kematian/Mortalitas|
K01476 Penduduk|",Banyaknya kejadian kematian atau keadaan menghilangnya semua tanda-tanda kehidupan seseorang secara permanen di suatu wilayah.,"32010026 Wilayah|
32020020 Klasifikasi Wilayah|
33220007 Jenis Kelamin|
10120066 Umur/Usia|",-,0,Total,kejadian
10410198,Jumlah Klinik,K01754 Klinik|,Banyaknya fasilitas pelayanan kesehatan yang menyelenggarakan pelayanan kesehatan perorangan yang menyediakan pelayanan medis dasar dan/atau spesialistis.,32010026 Wilayah|,-,0,Total,unit
10410041,Jumlah Klinik Pratama,K01754 Klinik|,Banyaknya fasilitas pelayanan kesehatan yang menyelenggarakan pelayanan medis dasar.,32010026 Wilayah|,-,0,Total,unit
10410199,Jumlah Kondisi Membahayakan Manusia yang Dilakukan Operasi Pencarian dan Pertolongan,"K00960 Kondisi Membahayakan Manusia|
K02372 Pencarian dan Pertolongan|","Banyaknya peristiwa yang menimpa, membahayakan, dan/atau mengancam keselamatan manusia, selain kecelakaan dan bencana, yang dilakukan kegiatan pencarian, pertolongan, penyelamatan, dan pengevakuasian terhadap korban selama periode tertentu.",3200026 Wilayah|,-,0,Total,kejadian
10410200,Jumlah Korban Kondisi Membahayakan Manusia yang Dilakukan Operasi Pencarian dan Pertolongan,"K00974 Korban|
K00960 Kondisi Membahayakan Manusia|
K02372 Pencarian dan Pertolongan|","Banyaknya orang yang mengalami peristiwa yang menimpa, membahayakan, dan/atau mengancam keselamatan manusia, selain kecelakaan dan bencana, yang dilakukan pencarian dalam upaya menolong dan memberi bantuan.","3200026 Wilayah|
1040202 Keadaan Korban Hasil Pencarian dan Pertolongan|",-,0,Total,orang
10410042,Jumlah Kultivasi Narkotika,K01208 Narkotika|,Banyaknya produksi hasil budi daya (kultivasi) tanaman yang mengandung narkotika untuk kepentingan pengembangan ilmu pengetahuan dan teknologi.,32010026 Wilayah|,-,0,Total,gram
